ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1+StopWordRemoval,90683,TEXTRANK.TXT,0.16949,0.47619,0.25000,1

ROUGE-2+StopWordRemoval,90683,TEXTRANK.TXT,0.06809,0.19277,0.10063,1

ROUGE-3+StopWordRemoval,90683,TEXTRANK.TXT,0.02564,0.07317,0.03797,1

ROUGE-1+StopWordRemoval,90166,TEXTRANK.TXT,0.70335,0.81215,0.75385,1

ROUGE-2+StopWordRemoval,90166,TEXTRANK.TXT,0.61058,0.70556,0.65464,1

ROUGE-3+StopWordRemoval,90166,TEXTRANK.TXT,0.57005,0.65922,0.61140,1

ROUGE-1+StopWordRemoval,90565,TEXTRANK.TXT,0.93713,1.00000,0.96754,1

ROUGE-2+StopWordRemoval,90565,TEXTRANK.TXT,0.93393,0.99679,0.96434,1

ROUGE-3+StopWordRemoval,90565,TEXTRANK.TXT,0.93072,0.99357,0.96112,1

ROUGE-1+StopWordRemoval,90685,TEXTRANK.TXT,0.25993,0.35294,0.29938,1

ROUGE-2+StopWordRemoval,90685,TEXTRANK.TXT,0.06884,0.09360,0.07933,1

ROUGE-3+StopWordRemoval,90685,TEXTRANK.TXT,0.02545,0.03465,0.02935,1

ROUGE-1+StopWordRemoval,91656,TEXTRANK.TXT,0.26122,0.32821,0.29091,1

ROUGE-2+StopWordRemoval,91656,TEXTRANK.TXT,0.06148,0.07732,0.06849,1

ROUGE-3+StopWordRemoval,91656,TEXTRANK.TXT,0.02058,0.02591,0.02294,1

ROUGE-1+StopWordRemoval,90204,TEXTRANK.TXT,0.95000,1.00000,0.97436,1

ROUGE-2+StopWordRemoval,90204,TEXTRANK.TXT,0.94649,0.99648,0.97084,1

ROUGE-3+StopWordRemoval,90204,TEXTRANK.TXT,0.94295,0.99293,0.96730,1

ROUGE-1+StopWordRemoval,9061,TEXTRANK.TXT,0.38614,0.50980,0.43944,1

ROUGE-2+StopWordRemoval,9061,TEXTRANK.TXT,0.27363,0.36184,0.31161,1

ROUGE-3+StopWordRemoval,9061,TEXTRANK.TXT,0.23500,0.31126,0.26781,1

ROUGE-1+StopWordRemoval,98325,TEXTRANK.TXT,0.40796,0.59420,0.48378,1

ROUGE-2+StopWordRemoval,98325,TEXTRANK.TXT,0.34000,0.49635,0.40356,1

ROUGE-3+StopWordRemoval,98325,TEXTRANK.TXT,0.32663,0.47794,0.38806,1

ROUGE-1+StopWordRemoval,90280,TEXTRANK.TXT,0.83817,0.87069,0.85412,1

ROUGE-2+StopWordRemoval,90280,TEXTRANK.TXT,0.82083,0.85281,0.83652,1

ROUGE-3+StopWordRemoval,90280,TEXTRANK.TXT,0.80753,0.83913,0.82303,1

ROUGE-1+StopWordRemoval,9065,TEXTRANK.TXT,0.89521,1.00000,0.94471,1

ROUGE-2+StopWordRemoval,9065,TEXTRANK.TXT,0.89489,1.00000,0.94453,1

ROUGE-3+StopWordRemoval,9065,TEXTRANK.TXT,0.89458,1.00000,0.94436,1

ROUGE-1+StopWordRemoval,9187,TEXTRANK.TXT,0.88789,1.00000,0.94062,1

ROUGE-2+StopWordRemoval,9187,TEXTRANK.TXT,0.88739,1.00000,0.94033,1

ROUGE-3+StopWordRemoval,9187,TEXTRANK.TXT,0.88688,1.00000,0.94005,1

ROUGE-1+StopWordRemoval,91808,TEXTRANK.TXT,0.58796,0.66492,0.62408,1

ROUGE-2+StopWordRemoval,91808,TEXTRANK.TXT,0.44186,0.50000,0.46914,1

ROUGE-3+StopWordRemoval,91808,TEXTRANK.TXT,0.37850,0.42857,0.40199,1

ROUGE-1+StopWordRemoval,99372,TEXTRANK.TXT,0.46814,0.47740,0.47273,1

ROUGE-2+StopWordRemoval,99372,TEXTRANK.TXT,0.30556,0.31161,0.30856,1

ROUGE-3+StopWordRemoval,99372,TEXTRANK.TXT,0.28134,0.28693,0.28411,1

ROUGE-1+StopWordRemoval,89974,TEXTRANK.TXT,0.20476,0.23370,0.21827,1

ROUGE-2+StopWordRemoval,89974,TEXTRANK.TXT,0.03828,0.04372,0.04082,1

ROUGE-3+StopWordRemoval,89974,TEXTRANK.TXT,0.00962,0.01099,0.01026,1

ROUGE-1+StopWordRemoval,91124,TEXTRANK.TXT,0.96596,1.00000,0.98268,1

ROUGE-2+StopWordRemoval,91124,TEXTRANK.TXT,0.96154,0.99558,0.97826,1

ROUGE-3+StopWordRemoval,91124,TEXTRANK.TXT,0.95708,0.99111,0.97380,1

ROUGE-1+StopWordRemoval,94357,TEXTRANK.TXT,0.48571,0.59500,0.53483,1

ROUGE-2+StopWordRemoval,94357,TEXTRANK.TXT,0.39344,0.48241,0.43341,1

ROUGE-3+StopWordRemoval,94357,TEXTRANK.TXT,0.36214,0.44444,0.39909,1

ROUGE-1+StopWordRemoval,9078,TEXTRANK.TXT,0.50281,0.54740,0.52416,1

ROUGE-2+StopWordRemoval,9078,TEXTRANK.TXT,0.28732,0.31288,0.29956,1

